"","","","","a","a","a","a"
"a.temp","-6114953.16967925","-4141317.45919096","River (1)","5270.19730289118","11700.5834602978","11098.0100572758","4698.92011545192"
"a.temp","-6114953.16967925","-4141467.45919096","River (1)","5406.32172659022","11577.0975771735","10950.7836354937","4642.96082811375"
"a.temp","-6114953.16967925","-4141617.45919096","River (1)","5543.16241972049","11454.2447726332","10803.6335198578","4591.22208691747"
"a.temp","-6114953.16967925","-4141767.45919096","Wetland (2-3)","5680.66762021874","11332.0456366622","10656.5628713669","4543.84806649594"
"a.temp","-6114953.16967925","-4141917.45919096","Wetland (2-3)","5818.79021888585","11210.5215450217","10509.5750262033","4500.97658863039"
"a.temp","-6114953.16967925","-4142067.45919096","Wetland (2-3)","5957.48727328911","11089.6946897286","10362.6735079031","4462.73741681033"
"a.temp","-6114953.16967925","-4142217.45919096","Wetland (2-3)","6096.71957788791","10969.5881103803","10215.8620405424","4429.25052931069"
"a.temp","-6114953.16967925","-4142367.45919096","Wetland (2-3)","6236.45128349463","10850.2257262877","10069.1445630399","4400.62441607996"
"a.temp","-6114953.16967925","-4142517.45919096","Wetland (2-3)","6376.64956002773","10731.632369374","9922.52524468424","4376.95444931737"
"a.temp","-6114953.16967925","-4142667.45919096","Wetland (2-3)","6517.28429726692","10613.8338177774","9776.00850201124","4358.32138000391"
"a.temp","-6114953.16967925","-4142817.45919096","Wetland (2-3)","6658.32783898495","10496.8568300895","9629.59901716557","4344.79001234803"
"a.temp","-6114953.16967925","-4142967.45919096","River (1)","6799.75474641564","10380.7291801393","9483.30175790037","4336.40810480279"
"a.temp","-6114953.16967925","-4143117.45919096","River (1)","6941.54158752954","10265.4796922207","9337.12199938484","4333.20553994377"
"a.temp","-6114953.16967925","-4143267.45919096","River (1)","7083.66674903628","10151.1382766366","9191.06534801034","4335.19379629093"
"a.temp","-6114953.16967925","-4143567.45919096","Wetland (2-3)","7368.85368367443","9925.30494803038","8899.34560691945","4354.69577024613"
"a.temp","-6114953.16967925","-4143717.45919096","Wetland (2-3)","7511.8798986274","9813.87860692175","8753.69563278256","4372.14023693197"
"a.temp","-6114953.16967925","-4143867.45919096","Wetland (2-3)","7655.17306214578","9703.49155260087","8608.19506234591","4394.63823896798"
"a.temp","-6114953.16967925","-4144017.45919096","Wetland (2-3)","7798.71845955491","9594.17965807376","8462.85160164094","4422.11264571581"
"a.temp","-6114953.16967925","-4144167.45919096","Wetland (2-3)","7942.50241494471","9485.98009229392","8317.67348670268","4454.47137732411"
"a.temp","-6114953.16967925","-4144317.45919096","Wetland (2-3)","8086.51220313199","9378.93135231283","8172.66952907046","4491.60887115071"
"a.temp","-6114953.16967925","-4144467.45919096","Wetland (2-3)","8230.7359702157","9273.07329375739","8027.84916595951","4533.4076864319"
"a.temp","-6114953.16967925","-4144617.45919096","Wetland (2-3)","8375.16266178769","9168.44715921931","7883.22251565924","4579.74019474903"
"a.temp","-6114953.16967925","-4144767.45919096","Wetland (2-3)","8519.78195797303","9065.09560409578","7738.80043878875","4630.47030563851"
"a.temp","-6114953.16967925","-4144917.45919096","Wetland (2-3)","8664.58421457157","8963.06271937203","7594.59460612592","4685.45518081221"
"a.temp","-6114953.16967925","-4145067.45919096","Wetland (2-3)","8809.56040965739","8862.39405078542","7450.61757382548","4744.54689632214"
"a.temp","-6114953.16967925","-4145217.45919096","Wetland (2-3)","8954.70209506731","8763.13661375862","7306.88286695476","4807.59401898706"
"a.temp","-6114953.16967925","-4145367.45919096","Wetland (2-3)","9100.00135227479","8665.33890343574","7163.40507240775","4874.4430708954"
"a.temp","-6114953.16967925","-4145517.45919096","Wetland (2-3)","9245.45075220257","8569.05089910178","7020.19994240885","4944.9398632744"
"a.temp","-6114953.16967925","-4145667.45919096","Wetland (2-3)","9391.04331857771","8474.32406221269","6877.28450999355","5018.93068804504"
"a.temp","-6114953.16967925","-4145817.45919096","Wetland (2-3)","9536.77249447648","8381.21132721262","6734.67721805561","5096.26336166022"
"a.temp","-6114953.16967925","-4145967.45919096","Wetland (2-3)","9682.6321117454","8289.76708426703","6592.39806378509","5176.78812116165"
"a.temp","-6114953.16967925","-4146117.45919096","Wetland (2-3)","9828.61636301892","8200.0471529984","6450.46876059387","5260.35837670785"
"a.temp","-6114953.16967925","-4146267.45919096","Wetland (2-3)","9974.7197760841","8112.10874627536","6308.91291994092","5346.83132812328"
"a.temp","-6114953.16967925","-4146417.45919096","Wetland (2-3)","10120.9371903694","8026.01042308053","6167.75625583547","5436.06845536373"
"a.temp","-6114953.16967925","-4146567.45919096","Wetland (2-3)","10267.2637353583","7941.81202946767","6027.02681522138","5527.93589429189"
"a.temp","-6114953.16967925","-4146717.45919096","Wetland (2-3)","10413.6948107482","7859.57462661927","5886.75523793861","5622.30470993886"
"a.temp","-6114953.16967925","-4146867.45919096","Wetland (2-3)","10560.2260681959","7779.36040503315","5746.97505052856","5719.05107962857"
"a.temp","-6114953.16967925","-4147017.45919096","Wetland (2-3)","10706.8533945041","7701.23258390484","5607.72299881135","5818.05639809385"
"a.temp","-6114953.16967925","-4147167.45919096","Wetland (2-3)","10853.5728961206","7625.25529483424","5469.03942492626","5919.20731613625"
"a.temp","-6114953.16967925","-4147317.45919096","Wetland (2-3)","11000.3808848332","7551.49344907335","5330.96869540592","6022.39572358052"
"a.temp","-6114953.16967925","-4147617.45919096","Wetland (2-3)","11294.2485191094","7410.87871385018","5056.8663450202","6234.47834637358"
"a.temp","-6114953.16967925","-4147767.45919096","Wetland (2-3)","11441.3017009169","7344.15810773419","4920.9483061091","6343.18179239734"
