"","","","","","",""
"a.temp",-6111353.16967925,-4146867.45919096,10408.3980809443,5089.87468523519,5549.27907312276,3803.77723472357
"a.temp",-6111353.16967925,-4147617.45919096,11152.4179266832,4506.60618552346,4831.01161573831,4542.01455869546
"a.temp",-6111353.16967925,-4147767.45919096,11301.3167644927,4396.02483061667,4688.55076024549,4690.10994022545
"a.temp",-6111353.16967925,-4147917.45919096,11450.2443472358,4287.83970215753,4546.57489011218,4838.32266921106
"a.temp",-6111353.16967925,-4148067.45919096,11599.1995677031,4182.23675936675,4405.13089832739,4986.6422822779
"a.temp",-6111353.16967925,-4148967.45919096,12493.4559114524,3615.15066233744,3571.16062805904,5878.35106568178
"a.temp",-6111353.16967925,-4149117.45919096,12642.5778863096,3534.09809023446,3435.4072875569,6027.20882759193
"a.temp",-6111353.16967925,-4149267.45919096,12791.7203929497,3457.65589835063,3300.88749147848,6176.12186176748
"a.temp",-6111353.16967925,-4149417.45919096,12940.8827214918,3386.13633975346,3167.75839220721,6325.08626434472
"a.temp",-6111353.16967925,-4149567.45919096,13090.0641943195,3319.85757396293,3036.20292987792,6474.09848947344
"a.temp",-6111353.16967925,-4149717.45919096,13239.2641642731,3259.13935133174,2906.43479737621,6623.15530932216
"a.temp",-6111353.16967925,-4149867.45919096,13388.4820129619,3204.29778756581,2778.70441598227,6772.25377931176
"a.temp",-6111353.16967925,-4150017.45919096,13537.7171491875,3155.63928727591,2653.30609455438,6921.39120779937
"a.temp",-6111353.16967925,-4150167.45919096,13686.9690074686,3113.45375931605,2530.58653900622,7070.56512956373
"a.temp",-6111353.16967925,-4150317.45919096,13836.2370466614,3078.0073605174,2410.95483810865,7219.7732825486
"a.temp",-6111353.16967925,-4150467.45919096,13985.5207486674,3049.53509758444,2294.89394774564,7369.01358740793
"a.temp",-6111353.16967925,-4150617.45919096,14134.8196172221,3028.23369497789,2182.97348389751,7518.28412946749
